;pt1	pt2	distance	type
166	167	163.334349342555810	Q20220830093028
167	166	163.334349342555810	Q20220830093028
167	168	163.334349342555810	Q20220830093028
168	167	163.334349342555810	Q20220830093028
168	169	163.334349342583240	Q20220830093028
169	168	163.334349342583240	Q20220830093028
169	170	261.765786220365840	Q20220830093028
170	169	261.765786220365840	Q20220830093028
170	171	163.334349342202070	Q20220830092916
171	170	163.334349342202070	Q20220830092916
171	172	163.334349342202070	Q20220830092916
172	171	163.334349342202070	Q20220830092916
172	173	163.334349342202070	Q20220830092916
173	172	163.334349342202070	Q20220830092916
173	174	163.334349342202070	Q20220830092916
174	173	163.334349342202070	Q20220830092916
174	175	163.334349342202070	Q20220830092916
175	174	163.334349342202070	Q20220830092916
175	176	163.334349342202070	Q20220830092916
176	175	163.334349342202070	Q20220830092916
176	177	163.334349342202070	Q20220830092916
177	176	163.334349342202070	Q20220830092916
177	178	163.334349342147020	Q20220830092916
178	177	163.334349342147020	Q20220830092916
178	179	163.334349342147020	Q20220830092916
179	178	163.334349342147020	Q20220830092916
179	180	163.334349342147020	Q20220830092916
180	179	163.334349342147020	Q20220830092916
180	181	163.334349342147020	Q20220830092916
181	180	163.334349342147020	Q20220830092916
181	182	163.334349342147020	Q20220830092916
182	181	163.334349342147020	Q20220830092916
182	183	163.334349342147020	Q20220830092916
183	182	163.334349342147020	Q20220830092916
183	184	163.334349342147020	Q20220830092916
184	183	163.334349342147020	Q20220830092916
184	185	163.334349342147020	Q20220830092916
185	184	163.334349342147020	Q20220830092916
185	186	163.334349342147020	Q20220830092916
186	185	163.334349342147020	Q20220830092916
186	187	163.334349342091940	Q20220830092916
187	186	163.334349342091940	Q20220830092916
187	188	163.334349342393840	Q20220830092916
188	187	163.334349342393840	Q20220830092916
188	189	163.334349342091940	Q20220830092916
189	188	163.334349342091940	Q20220830092916
189	190	163.334349342393840	Q20220830092916
190	189	163.334349342393840	Q20220830092916
190	191	163.334349342147020	Q20220830092916
191	190	163.334349342147020	Q20220830092916
191	192	163.334349342393840	Q20220830092916
192	191	163.334349342393840	Q20220830092916
192	193	163.334349342147020	Q20220830092916
193	192	163.334349342147020	Q20220830092916
193	194	163.334349342393840	Q20220830092916
194	193	163.334349342393840	Q20220830092916
194	195	163.334349342147020	Q20220830092916
195	194	163.334349342147020	Q20220830092916
195	196	163.334349342393840	Q20220830092916
196	195	163.334349342393840	Q20220830092916
196	197	206.595533129259740	Q20220830092916
197	196	206.595533129259740	Q20220830092916
197	198	163.334349342338360	Q20220830092916
198	197	163.334349342338360	Q20220830092916
198	199	163.334349342338360	Q20220830092916
199	198	163.334349342338360	Q20220830092916
199	200	163.334349342338360	Q20220830092916
200	199	163.334349342338360	Q20220830092916
200	201	163.334349342338360	Q20220830092916
201	200	163.334349342338360	Q20220830092916
201	202	163.334349342338360	Q20220830092916
202	201	163.334349342338360	Q20220830092916
202	203	163.334349342338360	Q20220830092916
203	202	163.334349342338360	Q20220830092916
203	204	163.334349342338360	Q20220830092916
204	203	163.334349342338360	Q20220830092916
204	205	163.334349342338360	Q20220830092916
205	204	163.334349342338360	Q20220830092916
205	206	163.334349342338360	Q20220830092916
206	205	163.334349342338360	Q20220830092916
206	207	163.334349342391450	Q20220830092916
207	206	163.334349342391450	Q20220830092916
207	208	163.334349342391450	Q20220830092916
208	207	163.334349342391450	Q20220830092916
208	209	163.334349342391450	Q20220830092916
209	208	163.334349342391450	Q20220830092916
209	210	163.334349342444540	Q20220830092916
210	209	163.334349342444540	Q20220830092916
210	211	163.334349342115500	Q20220830092916
211	210	163.334349342115500	Q20220830092916
211	212	163.334349342391450	Q20220830092916
212	211	163.334349342391450	Q20220830092916
212	213	217.585873421189400	Q20220830092916
213	212	217.585873421189400	Q20220830092916
213	214	163.334349342255790	Q20220830092916
213	937	163.334349342555920	Q20251016164614
214	213	163.334349342255790	Q20220830092916
214	215	163.334349342255790	Q20220830092916
215	214	163.334349342255790	Q20220830092916
215	216	163.334349342255790	Q20220830092916
216	215	163.334349342255790	Q20220830092916
216	217	163.334349342255790	Q20220830092916
217	216	163.334349342255790	Q20220830092916
217	218	163.334349342255790	Q20220830092916
218	217	163.334349342255790	Q20220830092916
218	219	163.334349342255790	Q20220830092916
219	218	163.334349342255790	Q20220830092916
219	220	163.334349342255790	Q20220830092916
220	219	163.334349342255790	Q20220830092916
220	221	163.334349342255790	Q20220830092916
221	220	163.334349342255790	Q20220830092916
221	222	163.334349342255790	Q20220830092916
222	221	163.334349342255790	Q20220830092916
222	223	163.334349342255790	Q20220830092916
223	222	163.334349342255790	Q20220830092916
223	224	163.334349342255790	Q20220830092916
224	223	163.334349342255790	Q20220830092916
224	225	163.334349342255790	Q20220830092916
225	224	163.334349342255790	Q20220830092916
225	226	163.334349342255790	Q20220830092916
226	225	163.334349342255790	Q20220830092916
226	227	163.334349342255790	Q20220830092916
227	226	163.334349342255790	Q20220830092916
227	228	163.334349342255790	Q20220830092916
228	227	163.334349342255790	Q20220830092916
228	229	163.334349342255790	Q20220830092916
229	228	163.334349342255790	Q20220830092916
229	230	163.334349342255790	Q20220830092916
230	229	163.334349342255790	Q20220830092916
230	231	163.334349342255790	Q20220830092916
231	230	163.334349342255790	Q20220830092916
231	232	163.334349342255790	Q20220830092916
232	231	163.334349342255790	Q20220830092916
232	233	163.334349342255790	Q20220830092916
233	232	163.334349342255790	Q20220830092916
233	234	163.334349342255790	Q20220830092916
234	233	163.334349342255790	Q20220830092916
234	235	163.334349342255790	Q20220830092916
235	234	163.334349342255790	Q20220830092916
235	236	163.334349342255790	Q20220830092916
236	235	163.334349342255790	Q20220830092916
236	237	163.334349342255790	Q20220830092916
237	236	163.334349342255790	Q20220830092916
237	238	163.334349342255790	Q20220830092916
238	237	163.334349342255790	Q20220830092916
238	239	163.334349342255790	Q20220830092916
239	238	163.334349342255790	Q20220830092916
239	240	163.334349342255790	Q20220830092916
240	239	163.334349342255790	Q20220830092916
240	241	163.334349342255790	Q20220830092916
241	240	163.334349342255790	Q20220830092916
241	242	163.334349342255790	Q20220830092916
242	241	163.334349342255790	Q20220830092916
242	243	163.334349342255790	Q20220830092916
243	242	163.334349342255790	Q20220830092916
243	244	163.334349342255790	Q20220830092916
244	243	163.334349342255790	Q20220830092916
244	245	163.334349342255790	Q20220830092916
245	244	163.334349342255790	Q20220830092916
245	246	163.334349342255790	Q20220830092916
246	245	163.334349342255790	Q20220830092916
246	247	163.334349342255790	Q20220830092916
247	246	163.334349342255790	Q20220830092916
247	248	163.334349342255790	Q20220830092916
248	247	163.334349342255790	Q20220830092916
248	249	163.334349342255790	Q20220830092916
249	248	163.334349342255790	Q20220830092916
249	250	163.334349342255790	Q20220830092916
250	249	163.334349342255790	Q20220830092916
250	251	163.334349342255790	Q20220830092916
251	250	163.334349342255790	Q20220830092916
251	252	163.334349342255790	Q20220830092916
252	251	163.334349342255790	Q20220830092916
252	253	163.334349342255790	Q20220830092916
253	252	163.334349342255790	Q20220830092916
253	254	163.334349342255790	Q20220830092916
254	253	163.334349342255790	Q20220830092916
254	255	163.334349342255790	Q20220830092916
255	254	163.334349342255790	Q20220830092916
255	256	163.334349342255790	Q20220830092916
256	255	163.334349342255790	Q20220830092916
256	257	163.334349342255790	Q20220830092916
257	256	163.334349342255790	Q20220830092916
257	258	163.334349342255790	Q20220830092916
258	257	163.334349342255790	Q20220830092916
258	259	163.334349342255790	Q20220830092916
259	258	163.334349342255790	Q20220830092916
259	260	163.334349342255790	Q20220830092916
260	259	163.334349342255790	Q20220830092916
260	261	163.334349342255790	Q20220830092916
261	260	163.334349342255790	Q20220830092916
261	262	163.334349342255790	Q20220830092916
262	261	163.334349342255790	Q20220830092916
262	263	163.334349342255790	Q20220830092916
263	262	163.334349342255790	Q20220830092916
263	264	163.334349342255790	Q20220830092916
264	263	163.334349342255790	Q20220830092916
264	265	163.334349342255790	Q20220830092916
265	264	163.334349342255790	Q20220830092916
265	266	163.334349342255790	Q20220830092916
266	265	163.334349342255790	Q20220830092916
266	267	163.334349342255790	Q20220830092916
267	266	163.334349342255790	Q20220830092916
267	268	163.334349342255790	Q20220830092916
268	267	163.334349342255790	Q20220830092916
268	269	163.334349342255790	Q20220830092916
269	268	163.334349342255790	Q20220830092916
269	270	163.334349342255790	Q20220830092916
270	269	163.334349342255790	Q20220830092916
270	271	163.334349342255790	Q20220830092916
